id,identifier,govIdentifier,URL,name,description,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,charge,proofOfResidency,accessibilityNotes,pedestrianAccess,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo,wikidataQid
,hwrc-nir-mul-1512ln0983,WML 15/12LN/09/83,,Tullyvar Civic Amenity Site & Waste Transfer Station,,130 Tullyvar Road,,Tyrone,nir,BT70 2LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-mul-1513ln0939,WML 15/13LN/09/39,,Fivemiletown Civic Amenity Site,,Screeby Road,,Tyrone,nir,BT75 0LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1604ln0942,WML 16/04LN/09/42,,Belleek Civic Amenity Site,,Rathmore,,Fermanagh,nir,BT93 3GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1610ln0918,WML 16/10LN/09/18,,Kinawley Civic Amenity Site,,Derrylin Road,,Fermanagh,nir,BT92 4FJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1614ln0971,WML 16/14LN/09/71,,Garrison Civic Amenity Site,,Belcoo Road,,Fermanagh,nir,BT93 4EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1615ln0919,WML 16/15LN/09/19,,Irvinestown Civic Amenity Site,,Enniskillen Road,,Fermanagh,nir,BT94 1GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1617ln0958,WML 16/17LN/09/58,,Lisbellaw Civic Amenity Site,,Brooke Street,,Fermanagh,nir,BT94 5AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1619ln0956,WML 16/19LN/09/56,,Newtownbutler Civic Amenity Site,,Crom Road,,Fermanagh,nir,BT92 8AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1620ln0959,WML 16/20LN/09/59,,Rosslea Civic Amenity Site,,Lisnaskea Road,,Fermanagh,nir,BT92 7HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1622ln0917,WML 16/22LN/09/17,,Tempo Civic Amenity Site,,Brookeborough Road,,Fermanagh,nir,BT94 3GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1634ln0816,WML 16/34LN/08/16/M,,Drummee Civic Amenity Site,,Drummee Integrated Waste Management Facility,,Fermanagh,nir,BT74 7PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-fmo-1652ln1217,WML 16/52LN/12/17,,Lisnaskea Civic Amenity Site,,Killypaddy Road,,Fermanagh,nir,BT92 0HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
